"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 14:43:15 CST 2019","Wed Nov 06 14:43:27 CST 2019","12578","testcase","test_03_create_tenant","TestTeant","","","test_create",""
"passed","Wed Nov 06 14:49:29 CST 2019","Wed Nov 06 14:49:51 CST 2019","21733","testcase","test_15_delete_project","TestProjectDelete","","","test_delete_project",""
"passed","Wed Nov 06 14:52:22 CST 2019","Wed Nov 06 14:52:41 CST 2019","19787","testcase","test_19_delete_region","TestDeleteRegion","","","test_delete_region",""
"passed","Wed Nov 06 14:48:54 CST 2019","Wed Nov 06 14:49:17 CST 2019","23221","testcase","test_14_delete_tenant_user","TestDeleteUser","","","test_delete_tenant_user",""
"passed","Wed Nov 06 14:44:04 CST 2019","Wed Nov 06 14:44:13 CST 2019","9702","testcase","test_05_create_project","TestProject","","","test_create_project",""
"passed","Wed Nov 06 14:43:40 CST 2019","Wed Nov 06 14:43:51 CST 2019","11095","testcase","test_04_create_auth_user","TestCreateUser","","","test_create_authuser",""
"passed","Wed Nov 06 14:42:13 CST 2019","Wed Nov 06 14:42:15 CST 2019","2464","testcase","test_00_login","TestLoin","","","test_login",""
"passed","Wed Nov 06 14:42:27 CST 2019","Wed Nov 06 14:42:36 CST 2019","9051","testcase","test_01_create_user","TestCreateUser","","","test_create_user",""
"passed","Wed Nov 06 14:46:55 CST 2019","Wed Nov 06 14:47:03 CST 2019","8245","testcase","test_10_craete_vdc","TestCreateVDC","","","test_create_vdc",""
"passed","Wed Nov 06 14:51:17 CST 2019","Wed Nov 06 14:51:33 CST 2019","15416","testcase","test_17_delete_endpoint","TestDeleteEndpoint","","","test_delete_openstack_endpoint","
        测试删除openstack，endpoint
        :return:
        "
"passed","Wed Nov 06 14:42:47 CST 2019","Wed Nov 06 14:43:03 CST 2019","16187","testcase","test_02_allocation_domain_administrator","TestAllDomainAdmin","","","test_allocation_domain_admin",""
"passed","Wed Nov 06 14:52:53 CST 2019","Wed Nov 06 14:53:03 CST 2019","10057","testcase","test_20_remove_domain_admin","TestRemoveDomainAdmin","","","test_remove_domain_admin",""
"passed","Wed Nov 06 14:47:42 CST 2019","Wed Nov 06 14:48:09 CST 2019","26941","testcase","test_12_delete_vpool","Test_Vpool_Delete","","","test_delete_vpool",""
"passed","Wed Nov 06 14:48:20 CST 2019","Wed Nov 06 14:48:42 CST 2019","22440","testcase","test_13_delete_vdc","Test_Vpool_Vdc","","","test_delete_vdc",""
"passed","Wed Nov 06 14:47:14 CST 2019","Wed Nov 06 14:47:30 CST 2019","15330","testcase","test_11_ceate_crate_vpool","TestCreateVpool","","","test_create_vpool",""
"passed","Wed Nov 06 14:51:47 CST 2019","Wed Nov 06 14:52:00 CST 2019","12584","testcase","test_18_delete_service","TestDeleteService","","","test_delete_service_vmware",""
"passed","Wed Nov 06 14:50:03 CST 2019","Wed Nov 06 14:50:30 CST 2019","27684","testcase","test_16_delete_tenant","TestTenantDelete","","","test_delete_tenant",""
"passed","Wed Nov 06 14:50:44 CST 2019","Wed Nov 06 14:50:59 CST 2019","15103","testcase","test_17_delete_endpoint","TestDeleteEndpoint","","","test_delete_vmware_endpoint","
        测试删除vmware，endpoint
        :return:
        "
"passed","Wed Nov 06 14:44:54 CST 2019","Wed Nov 06 14:45:03 CST 2019","9027","testcase","test_07_create_service","TestCreateService","","","test_create_service_vmware",""
"passed","Wed Nov 06 14:45:03 CST 2019","Wed Nov 06 14:45:10 CST 2019","6769","testcase","test_07_create_service","TestCreateService","","","test_create_service_openstack",""
"passed","Wed Nov 06 14:45:54 CST 2019","Wed Nov 06 14:46:00 CST 2019","6607","testcase","test_08_create_endpoint","TestCreateEndpoint","","","test_openstack_endpoint","
        测试添加openstack，endpoint
        依赖已添加openstack服务
        :return:
        "
"passed","Wed Nov 06 14:45:30 CST 2019","Wed Nov 06 14:45:37 CST 2019","6666","testcase","test_08_create_endpoint","TestCreateEndpoint","","","test_vmware_endpoint","
        测试添加vmware，endpoint
        依赖已添加vmware服务
        :return:
        "
"passed","Wed Nov 06 14:53:21 CST 2019","Wed Nov 06 14:53:42 CST 2019","20675","testcase","test_21_delete_user","TestDeleteUser","","","test_delete_user",""
"passed","Wed Nov 06 14:52:00 CST 2019","Wed Nov 06 14:52:11 CST 2019","11132","testcase","test_18_delete_service","TestDeleteService","","","test_delete_service_openstack",""
"passed","Wed Nov 06 14:46:12 CST 2019","Wed Nov 06 14:46:43 CST 2019","31187","testcase","test_09_sync_phy_resource","TestPhySunc","","","test_sync_phy_res",""
"passed","Wed Nov 06 14:44:25 CST 2019","Wed Nov 06 14:44:39 CST 2019","13339","testcase","test_06_create_region","TestCreateRegion","","","test_create_region",""
