2019-10-31 09:13:09,295 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 10.827036380767822 seconds
2019-10-31 09:13:09,950 - root - INFO - SUCCESS    Navigated to file:///C:/Users/wuzs/Desktop/test.html, Spend 0.6542487144470215 seconds
2019-10-31 09:13:14,976 - root - INFO - FAIL    Unable to get element text element: <xpath->//table/tr[1]>, Spend 5.025718927383423 seconds
2019-10-31 09:13:56,086 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.309099435806274 seconds
2019-10-31 09:13:56,672 - root - INFO - SUCCESS    Navigated to file:///C:/Users/wuzs/Desktop/test.html, Spend 0.5854318141937256 seconds
2019-10-31 09:14:01,700 - root - INFO - FAIL    Unable to get element text element: <xpath->//table/tr[1]/th[1]>, Spend 5.026658058166504 seconds
2019-10-31 09:14:49,793 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.793476343154907 seconds
2019-10-31 09:14:50,276 - root - INFO - SUCCESS    Navigated to file:///C:/Users/wuzs/Desktop/test.html, Spend 0.4833869934082031 seconds
2019-10-31 09:14:50,301 - root - INFO - SUCCESS    Get element text element: <xpath->//table/tbody/tr[1]/th[1]>, Spend 0.024932861328125 seconds
2019-10-31 09:30:49,091 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.30107831954956 seconds
2019-10-31 09:30:49,376 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.28321361541748047 seconds
2019-10-31 09:30:49,842 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13, Spend 0.46471166610717773 seconds
2019-10-31 09:30:50,015 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs_auto_0001, Spend 0.17253756523132324 seconds
2019-10-31 09:30:50,043 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.025929689407348633 seconds
2019-10-31 09:30:50,070 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.025931358337402344 seconds
2019-10-31 09:30:51,294 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.721959114074707 seconds
2019-10-31 09:30:52,705 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13/csdp/manage/#/manage-view/systemManage/sys_morgMgr, Spend 1.4101850986480713 seconds
2019-10-31 09:30:57,747 - root - INFO - FAIL    Unable to click element: <xpath->//a[contains(text(),'河南分公司')]>, Spend 5.03952431678772 seconds
2019-10-31 09:31:24,331 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.303080320358276 seconds
2019-10-31 09:31:24,604 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.2723228931427002 seconds
2019-10-31 09:31:25,199 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13, Spend 0.5943601131439209 seconds
2019-10-31 09:31:25,276 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs_auto_0001, Spend 0.07679438591003418 seconds
2019-10-31 09:31:25,322 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.044878482818603516 seconds
2019-10-31 09:31:25,363 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03989386558532715 seconds
2019-10-31 09:31:26,470 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6052141189575195 seconds
2019-10-31 09:31:28,179 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13/csdp/manage/#/manage-view/systemManage/sys_morgMgr, Spend 1.707432508468628 seconds
2019-10-31 09:31:28,420 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'河南分公司')]>, Spend 0.2403569221496582 seconds
2019-10-31 09:31:28,651 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'通用岗位（1）')]>, Spend 0.23034906387329102 seconds
2019-10-31 09:31:28,891 - root - INFO - SUCCESS    Clicked element: <xpath->//button[contains(.,'用户')]>, Spend 0.23734426498413086 seconds
2019-10-31 09:31:29,561 - root - INFO - SUCCESS    Element <xpath->(//input[@type='search'])[4]> type content: wuzs_auto_0001,and sleep 0.5 seconds,input ENTER key, Spend 0.6691744327545166 seconds
2019-10-31 09:31:29,816 - root - INFO - SUCCESS    Clicked element: <xpath->//button[contains(.,'移除')]>, Spend 0.25331997871398926 seconds
2019-10-31 09:31:30,052 - root - INFO - SUCCESS    Clicked element: <xpath->(//a[contains(@href, '#')])[2]>, Spend 0.23334622383117676 seconds
2019-10-31 09:31:34,001 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 1.9487371444702148 seconds
2019-10-31 09:31:57,047 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.834669351577759 seconds
2019-10-31 09:31:57,359 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.3111610412597656 seconds
2019-10-31 09:31:57,838 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13, Spend 0.47922682762145996 seconds
2019-10-31 09:31:57,898 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: 系统管理员, Spend 0.05884099006652832 seconds
2019-10-31 09:31:57,941 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 123456, Spend 0.04188871383666992 seconds
2019-10-31 09:31:57,981 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03989362716674805 seconds
2019-10-31 09:31:59,179 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.69693922996521 seconds
2019-10-31 09:32:00,836 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13/csdp/manage/#/manage-view/systemManage/sys_morgMgr, Spend 1.6555700302124023 seconds
2019-10-31 09:32:01,118 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'河南分公司')]>, Spend 0.28025126457214355 seconds
2019-10-31 09:32:01,355 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'通用岗位（1）')]>, Spend 0.23533892631530762 seconds
2019-10-31 09:32:01,594 - root - INFO - SUCCESS    Clicked element: <xpath->//button[contains(.,'用户')]>, Spend 0.23836278915405273 seconds
2019-10-31 09:32:02,226 - root - INFO - SUCCESS    Element <xpath->(//input[@type='search'])[4]> type content: wuzs_auto_0001,and sleep 0.5 seconds,input ENTER key, Spend 0.6313107013702393 seconds
2019-10-31 09:32:02,483 - root - INFO - SUCCESS    Clicked element: <xpath->//button[contains(.,'移除')]>, Spend 0.25531554222106934 seconds
2019-10-31 09:32:02,707 - root - INFO - SUCCESS    Clicked element: <xpath->(//a[contains(@href, '#')])[2]>, Spend 0.22440052032470703 seconds
2019-10-31 09:32:05,988 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 1.2793893814086914 seconds
2019-10-31 09:35:37,195 - root - INFO - ############################### START ###############################
2019-10-31 09:35:46,035 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.83832335472107 seconds
2019-10-31 09:35:46,337 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.30222368240356445 seconds
2019-10-31 09:35:46,817 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13, Spend 0.47975826263427734 seconds
2019-10-31 09:35:46,877 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: 系统管理员, Spend 0.05884385108947754 seconds
2019-10-31 09:35:46,918 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 123456, Spend 0.03889656066894531 seconds
2019-10-31 09:35:46,958 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03889727592468262 seconds
2019-10-31 09:35:48,157 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6981337070465088 seconds
2019-10-31 09:35:50,003 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13/csdp/manage/#/manage-view/systemManage/sys_morgMgr, Spend 1.6366281509399414 seconds
2019-10-31 09:35:50,297 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'河南分公司')]>, Spend 0.2922539710998535 seconds
2019-10-31 09:35:50,540 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'通用岗位（1）')]>, Spend 0.2423858642578125 seconds
2019-10-31 09:35:50,787 - root - INFO - SUCCESS    Clicked element: <xpath->//button[contains(.,'用户')]>, Spend 0.24530553817749023 seconds
2019-10-31 09:35:51,462 - root - INFO - SUCCESS    Element <xpath->(//input[@type='search'])[4]> type content: wuzs_auto_0001,and sleep 0.5 seconds,input ENTER key, Spend 0.67323899269104 seconds
2019-10-31 09:35:51,715 - root - INFO - SUCCESS    Clicked element: <xpath->//button[contains(.,'移除')]>, Spend 0.25228261947631836 seconds
2019-10-31 09:35:51,942 - root - INFO - SUCCESS    Clicked element: <xpath->(//a[contains(@href, '#')])[2]>, Spend 0.22643065452575684 seconds
2019-10-31 09:35:51,951 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13/csdp/manage/#/manage-view/systemManage/sys_uorgMgr, Spend 0.008942365646362305 seconds
2019-10-31 09:35:52,631 - root - INFO - SUCCESS    Element <xpath->//div[@class='table-toolbar']/div/div//form/div/div/input> type content: wuzs_auto_0001,and sleep 0.5 seconds,input ENTER key, Spend 0.6791818141937256 seconds
2019-10-31 09:35:54,655 - root - INFO - SUCCESS    Get element text element: <css->.ng-scope:nth-child(4) > .wordBreak>, Spend 0.022706985473632812 seconds
2019-10-31 09:35:56,052 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 1.3962376117706299 seconds
2019-10-31 09:35:56,053 - root - INFO - ###############################  End  ###############################
2019-10-31 10:39:13,404 - root - INFO - ############################### START ###############################
2019-10-31 10:39:22,724 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.318943500518799 seconds
2019-10-31 10:39:23,015 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.29122304916381836 seconds
2019-10-31 10:39:23,647 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13, Spend 0.6304781436920166 seconds
2019-10-31 10:39:23,710 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: 系统管理员, Spend 0.061833858489990234 seconds
2019-10-31 10:39:23,755 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 123456, Spend 0.04387784004211426 seconds
2019-10-31 10:39:23,793 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03789877891540527 seconds
2019-10-31 10:39:24,983 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6870987415313721 seconds
2019-10-31 10:39:26,719 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.13/csdp/manage/#/manage-view/systemManage/sys_uorgMgr, Spend 1.7114219665527344 seconds
2019-10-31 10:39:26,852 - root - INFO - SUCCESS    Clicked element: <xpath->//div[3]/button>, Spend 0.13260960578918457 seconds
2019-10-31 10:39:27,131 - root - INFO - SUCCESS    Clicked element: <xpath->/html/body/app-component/div[1]/main-component/div/div/manage-component/div/div/div/div[1]/div/div[2]/form/div[1]/div[1]/div/div/button[2]>, Spend 0.27821993827819824 seconds
